2012/05/11	A02	3261
2012/05/11	B01	175
2012/05/12	A02	600
2012/05/12	A02	2960
2012/05/12	B02	3080
2012/05/12	B01	3079
2012/05/12	B02	385
2012/05/12	A04	1960
2012/05/12	B02	2979
2012/05/12	A05	1120
2012/05/12	A03	1120
2012/05/12	A02	2100
2012/05/12	A03	3708
2012/05/12	B01	2824
2012/05/12	A04	1335
2012/05/12	B02	1626
2012/05/12	B02	4400
2012/05/12	B01	385
2012/05/12	B02	1240
2012/05/12	B02	2320
2012/05/12	B02	65
2012/05/12	B02	2400
2012/05/12	A01	400
2012/05/12	B02	248
2012/05/12	B01	3000
2012/05/12	A05	9000
2012/05/12	A02	1324
2012/05/12	A01	1711
2012/05/12	B01	3153
2012/05/12	A05	3600
2012/05/12	A05	2421
2012/05/12	B02	3360
2012/05/12	A01	12300
2012/05/12	B01	12500
2012/05/12	A05	14700
2012/05/12	A05	500
2012/05/12	A03	25
2012/05/12	A02	105
2012/05/12	A02	2160
2012/05/12	A04	329
2012/05/12	B02	8100
2012/05/12	A02	4100
2012/05/13	B01	150
2012/05/13	A02	1160
2012/05/13	B02	330
2012/05/13	A05	2367
2012/05/13	A05	2520
2012/05/13	A05	3900
2012/05/13	A03	840
2012/05/13	A02	2003
2012/05/13	B02	2397
2012/05/13	A03	1520
2012/05/13	A02	521
2012/05/13	B02	280
2012/05/13	A01	3825
2012/05/13	B01	3441
2012/05/13	B02	3058
2012/05/13	A02	5600
2012/05/13	A05	245
2012/05/13	A02	1592
2012/05/14	A05	3600
2012/05/14	A03	425
2012/05/14	A02	2760
2012/05/14	B02	430
2012/05/14	B02	2938
2012/05/14	B02	25
2012/05/14	B02	425
2012/05/14	B01	3023
2012/05/14	B02	360
2012/05/14	A03	270
2012/05/14	B01	10900
2012/05/14	B01	19300
2012/05/14	A05	2800
2012/05/14	A05	1884
2012/05/14	A05	1618
2012/05/14	B01	2066
2012/05/14	B02	3173
2012/05/14	B02	3159
2012/05/14	A04	3573
2012/05/14	A05	3107
2012/05/14	A02	495
2012/05/14	A02	1400
2012/05/14	B02	1160
2012/05/14	A01	360
2012/05/14	A05	9400
2012/05/14	B01	3702
2012/05/14	A02	401
2012/05/14	B02	3400
2012/05/14	A01	2503
2012/05/14	B02	2247
2012/05/14	B01	2729
2012/05/15	A03	14200
2012/05/15	B01	3080
2012/05/15	B02	2760
2012/05/15	A02	1815
2012/05/15	A05	11800
2012/05/15	B01	195
2012/05/15	A04	275
2012/05/15	A04	2637
2012/05/15	B02	1160
2012/05/16	B01	2350
2012/05/16	B01	205
2012/05/16	A02	260
2012/05/16	A01	1920
2012/05/16	B02	3720
2012/05/16	B01	1600
2012/05/16	B02	600
2012/05/16	B02	1129
2012/05/16	A04	360
2012/05/16	A03	507
2012/05/16	B02	19200
2012/05/16	A03	2680
2012/05/16	B01	2520
2012/05/16	A03	468
2012/05/16	B02	2159
2012/05/16	A05	2886
2012/05/16	A04	2614
2012/05/16	B01	3640
2012/05/16	A01	5100
2012/05/16	A05	2564
2012/05/16	A04	1334
2012/05/16	B02	3760
2012/05/16	B01	360
2012/05/16	B01	14100
2012/05/16	B02	3900
2012/05/16	B01	2560
2012/05/16	A03	2000
2012/05/16	B01	3600
2012/05/16	B02	2080
2012/05/16	A01	445
2012/05/16	A02	395
2012/05/16	A03	800
2012/05/16	A02	3089
2012/05/16	A04	2720
2012/05/16	A01	480
2012/05/16	A05	3560
2012/05/16	A04	2322
2012/05/17	A05	2524
2012/05/17	A03	2760
2012/05/17	A05	1000
2012/05/17	B02	2449
2012/05/17	A02	1920
2012/05/17	A02	1802
2012/05/17	A02	1800
2012/05/17	A02	779
2012/05/17	A02	10400
2012/05/17	A05	375
2012/05/17	A03	2640
2012/05/17	B01	3005
2012/05/17	B01	17600
2012/05/17	A02	10600
2012/05/17	A02	3000
2012/05/17	A02	1460
2012/05/17	A03	2206
2012/05/17	B01	2170
2012/05/17	B02	3800
2012/05/17	A05	2160
2012/05/17	B02	415
2012/05/17	A04	240
2012/05/18	B01	200
2012/05/18	A03	355
